fname,breedID
0,23
1,35
2,19
3,2
4,29
5,28
6,6
7,19
8,37
9,30
10,5
11,22
12,24
13,23
14,35
15,31
16,31
17,19
18,24
19,26
20,32
21,25
22,30
23,26
24,26
25,32
26,16
27,9
28,34
29,19
30,8
31,12
32,29
33,13
34,17
35,8
36,31
37,27
38,16
39,22
40,37
41,2
42,35
43,6
44,15
45,9
46,9
47,10
48,24
49,19
50,5
51,15
52,35
53,9
54,2
55,27
56,14
57,31
58,23
59,17
60,26
61,18
62,18
63,12
64,7
65,24
66,13
67,11
68,29
69,7
70,18
71,10
72,20
73,30
74,5
75,12
76,27
77,31
78,35
79,26
80,27
81,36
82,31
83,37
84,28
85,33
86,10
87,1
88,4
89,28
90,2
91,17
92,25
93,20
94,33
95,35
96,12
97,10
98,29
99,34
100,22
101,7
102,6
103,18
104,24
105,24
106,16
107,19
108,1
109,11
110,11
111,30
112,25
113,10
114,7
115,35
116,22
117,6
118,36
119,20
120,26
121,26
122,28
123,14
124,1
125,13
126,20
127,25
128,31
129,22
130,20
131,33
132,15
133,8
134,16
135,10
136,29
137,36
138,16
139,21
140,32
141,29
142,15
143,10
144,35
145,28
146,4
147,33
148,3
149,33
150,26
151,7
152,2
153,22
154,8
155,6
156,17
157,19
158,25
159,18
160,25
161,10
162,4
163,8
164,23
165,34
166,18
167,17
168,23
169,25
170,18
171,8
172,25
173,9
174,3
175,32
176,23
177,30
178,5
179,34
180,23
181,20
182,31
183,6
184,15
185,33
186,6
187,29
188,11
189,6
190,25
191,11
192,17
193,35
194,33
195,7
196,1
197,29
198,14
199,11
200,17
201,34
202,25
203,24
204,26
205,33
206,32
207,13
208,23
209,6
210,31
211,15
212,19
213,29
214,15
215,36
216,9
217,21
218,13
219,13
220,21
221,18
222,22
223,18
224,4
225,5
226,2
227,33
228,22
229,20
230,3
231,15
232,14
233,8
234,12
235,15
236,19
237,21
238,12
239,21
240,31
241,23
242,2
243,20
244,16
245,4
246,27
247,32
248,36
249,36
250,36
251,25
252,24
253,10
254,24
255,25
256,3
257,22
258,30
259,5
260,12
261,30
262,30
263,25
264,21
265,21
266,30
267,17
268,34
269,13
270,28
271,5
272,13
273,15
274,6
275,22
276,22
277,1
278,23
279,20
280,32
281,32
282,37
283,8
284,23
285,8
286,14
287,37
288,8
289,36
290,8
291,20
292,34
293,24
294,37
295,36
296,16
297,7
298,10
299,5
300,27
301,22
302,22
303,37
304,34
305,13
306,11
307,9
308,4
309,35
310,36
311,16
312,11
313,13
314,2
315,4
316,33
317,26
318,22
319,19
320,14
321,17
322,13
323,37
324,28
325,3
326,14
327,31
328,3
329,30
330,37
331,1
332,1
333,23
334,2
335,7
336,13
337,1
338,13
339,37
340,29
341,18
342,37
343,12
344,19
345,29
346,2
347,29
348,14
349,8
350,13
351,3
352,26
353,30
354,5
355,22
356,17
357,27
358,16
359,33
360,30
361,24
362,3
363,29
364,13
365,35
366,12
367,19
368,4
369,7
370,7
371,5
372,7
373,1
374,31
375,28
376,25
377,9
378,22
379,14
380,20
381,31
382,27
383,12
384,30
385,7
386,10
387,1
388,36
389,23
390,6
391,23
392,23
393,1
394,18
395,21
396,19
397,25
398,9
399,17
400,21
401,32
402,25
403,8
404,35
405,1
406,9
407,21
408,12
409,26
410,2
411,24
412,15
413,21
414,30
415,34
416,31
417,25
418,22
419,34
420,27
421,13
422,13
423,4
424,20
425,5
426,31
427,5
428,8
429,21
430,37
431,9
432,24
433,8
434,4
435,17
436,8
437,22
438,31
439,20
440,7
441,6
442,27
443,37
444,31
445,22
446,2
447,6
448,3
449,19
450,25
451,21
452,30
453,23
454,1
455,33
456,17
457,8
458,28
459,5
460,25
461,17
462,28
463,24
464,27
465,31
466,19
467,12
468,5
469,37
470,28
471,2
472,12
473,30
474,30
475,13
