breedID,speciesID,fname,breed_name
23,2,0,newfoundland
35,2,1,staffordshire bull terrier
19,2,2,keeshond
2,2,3,american bulldog
29,2,4,saint bernard
28,1,5,Russian Blue
6,1,6,Bengal
19,2,7,keeshond
37,2,8,yorkshire terrier
30,2,9,samoyed
5,2,10,beagle
22,2,11,miniature pinscher
24,1,12,Persian
23,2,13,newfoundland
35,2,14,staffordshire bull terrier
31,2,15,scottish terrier
31,2,16,scottish terrier
19,2,17,keeshond
24,1,18,Persian
26,2,19,pug
32,2,20,shiba inu
25,2,21,pomeranian
30,2,22,samoyed
26,2,23,pug
26,2,24,pug
32,2,25,shiba inu
16,2,26,great pyrenees
9,2,27,boxer
34,1,28,Sphynx
19,2,29,keeshond
8,1,30,Bombay
12,1,31,Egyptian Mau
29,2,32,saint bernard
13,2,33,english cocker spaniel
17,2,34,havanese
8,1,35,Bombay
31,2,36,scottish terrier
27,1,37,Ragdoll
16,2,38,great pyrenees
22,2,39,miniature pinscher
37,2,40,yorkshire terrier
2,2,41,american bulldog
35,2,42,staffordshire bull terrier
6,1,43,Bengal
15,2,44,german shorthaired
9,2,45,boxer
9,2,46,boxer
10,1,47,British Shorthair
24,1,48,Persian
19,2,49,keeshond
5,2,50,beagle
15,2,51,german shorthaired
35,2,52,staffordshire bull terrier
9,2,53,boxer
2,2,54,american bulldog
27,1,55,Ragdoll
14,2,56,english setter
31,2,57,scottish terrier
23,2,58,newfoundland
17,2,59,havanese
26,2,60,pug
18,2,61,japanese chin
18,2,62,japanese chin
12,1,63,Egyptian Mau
7,1,64,Birman
24,1,65,Persian
13,2,66,english cocker spaniel
11,2,67,chihuahua
29,2,68,saint bernard
7,1,69,Birman
18,2,70,japanese chin
10,1,71,British Shorthair
20,2,72,leonberger
30,2,73,samoyed
5,2,74,beagle
12,1,75,Egyptian Mau
27,1,76,Ragdoll
31,2,77,scottish terrier
35,2,78,staffordshire bull terrier
26,2,79,pug
27,1,80,Ragdoll
36,2,81,wheaten terrier
31,2,82,scottish terrier
37,2,83,yorkshire terrier
28,1,84,Russian Blue
33,1,85,Siamese
10,1,86,British Shorthair
1,1,87,Abyssinian
4,2,88,basset hound
28,1,89,Russian Blue
2,2,90,american bulldog
17,2,91,havanese
25,2,92,pomeranian
20,2,93,leonberger
33,1,94,Siamese
35,2,95,staffordshire bull terrier
12,1,96,Egyptian Mau
10,1,97,British Shorthair
29,2,98,saint bernard
34,1,99,Sphynx
22,2,100,miniature pinscher
7,1,101,Birman
6,1,102,Bengal
18,2,103,japanese chin
24,1,104,Persian
24,1,105,Persian
16,2,106,great pyrenees
19,2,107,keeshond
1,1,108,Abyssinian
11,2,109,chihuahua
11,2,110,chihuahua
30,2,111,samoyed
25,2,112,pomeranian
10,1,113,British Shorthair
7,1,114,Birman
35,2,115,staffordshire bull terrier
22,2,116,miniature pinscher
6,1,117,Bengal
36,2,118,wheaten terrier
20,2,119,leonberger
26,2,120,pug
26,2,121,pug
28,1,122,Russian Blue
14,2,123,english setter
1,1,124,Abyssinian
13,2,125,english cocker spaniel
20,2,126,leonberger
25,2,127,pomeranian
31,2,128,scottish terrier
22,2,129,miniature pinscher
20,2,130,leonberger
33,1,131,Siamese
15,2,132,german shorthaired
8,1,133,Bombay
16,2,134,great pyrenees
10,1,135,British Shorthair
29,2,136,saint bernard
36,2,137,wheaten terrier
16,2,138,great pyrenees
21,1,139,Maine Coon
32,2,140,shiba inu
29,2,141,saint bernard
15,2,142,german shorthaired
10,1,143,British Shorthair
35,2,144,staffordshire bull terrier
28,1,145,Russian Blue
4,2,146,basset hound
33,1,147,Siamese
3,2,148,american pit bull terrier
33,1,149,Siamese
26,2,150,pug
7,1,151,Birman
2,2,152,american bulldog
22,2,153,miniature pinscher
8,1,154,Bombay
6,1,155,Bengal
17,2,156,havanese
19,2,157,keeshond
25,2,158,pomeranian
18,2,159,japanese chin
25,2,160,pomeranian
10,1,161,British Shorthair
4,2,162,basset hound
8,1,163,Bombay
23,2,164,newfoundland
34,1,165,Sphynx
18,2,166,japanese chin
17,2,167,havanese
23,2,168,newfoundland
25,2,169,pomeranian
18,2,170,japanese chin
8,1,171,Bombay
25,2,172,pomeranian
9,2,173,boxer
3,2,174,american pit bull terrier
32,2,175,shiba inu
23,2,176,newfoundland
30,2,177,samoyed
5,2,178,beagle
34,1,179,Sphynx
23,2,180,newfoundland
20,2,181,leonberger
31,2,182,scottish terrier
6,1,183,Bengal
15,2,184,german shorthaired
33,1,185,Siamese
6,1,186,Bengal
29,2,187,saint bernard
11,2,188,chihuahua
6,1,189,Bengal
25,2,190,pomeranian
11,2,191,chihuahua
17,2,192,havanese
35,2,193,staffordshire bull terrier
33,1,194,Siamese
7,1,195,Birman
1,1,196,Abyssinian
29,2,197,saint bernard
14,2,198,english setter
11,2,199,chihuahua
17,2,200,havanese
34,1,201,Sphynx
25,2,202,pomeranian
24,1,203,Persian
26,2,204,pug
33,1,205,Siamese
32,2,206,shiba inu
13,2,207,english cocker spaniel
23,2,208,newfoundland
6,1,209,Bengal
31,2,210,scottish terrier
15,2,211,german shorthaired
19,2,212,keeshond
29,2,213,saint bernard
15,2,214,german shorthaired
36,2,215,wheaten terrier
9,2,216,boxer
21,1,217,Maine Coon
13,2,218,english cocker spaniel
13,2,219,english cocker spaniel
21,1,220,Maine Coon
18,2,221,japanese chin
22,2,222,miniature pinscher
18,2,223,japanese chin
4,2,224,basset hound
5,2,225,beagle
2,2,226,american bulldog
33,1,227,Siamese
22,2,228,miniature pinscher
20,2,229,leonberger
3,2,230,american pit bull terrier
15,2,231,german shorthaired
14,2,232,english setter
8,1,233,Bombay
12,1,234,Egyptian Mau
15,2,235,german shorthaired
19,2,236,keeshond
21,1,237,Maine Coon
12,1,238,Egyptian Mau
21,1,239,Maine Coon
31,2,240,scottish terrier
23,2,241,newfoundland
2,2,242,american bulldog
20,2,243,leonberger
16,2,244,great pyrenees
4,2,245,basset hound
27,1,246,Ragdoll
32,2,247,shiba inu
36,2,248,wheaten terrier
36,2,249,wheaten terrier
36,2,250,wheaten terrier
25,2,251,pomeranian
24,1,252,Persian
10,1,253,British Shorthair
24,1,254,Persian
25,2,255,pomeranian
3,2,256,american pit bull terrier
22,2,257,miniature pinscher
30,2,258,samoyed
5,2,259,beagle
12,1,260,Egyptian Mau
30,2,261,samoyed
30,2,262,samoyed
25,2,263,pomeranian
21,1,264,Maine Coon
21,1,265,Maine Coon
30,2,266,samoyed
17,2,267,havanese
34,1,268,Sphynx
13,2,269,english cocker spaniel
28,1,270,Russian Blue
5,2,271,beagle
13,2,272,english cocker spaniel
15,2,273,german shorthaired
6,1,274,Bengal
22,2,275,miniature pinscher
22,2,276,miniature pinscher
1,1,277,Abyssinian
23,2,278,newfoundland
20,2,279,leonberger
32,2,280,shiba inu
32,2,281,shiba inu
37,2,282,yorkshire terrier
8,1,283,Bombay
23,2,284,newfoundland
8,1,285,Bombay
14,2,286,english setter
37,2,287,yorkshire terrier
8,1,288,Bombay
36,2,289,wheaten terrier
8,1,290,Bombay
20,2,291,leonberger
34,1,292,Sphynx
24,1,293,Persian
37,2,294,yorkshire terrier
36,2,295,wheaten terrier
16,2,296,great pyrenees
7,1,297,Birman
10,1,298,British Shorthair
5,2,299,beagle
27,1,300,Ragdoll
22,2,301,miniature pinscher
22,2,302,miniature pinscher
